City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Moose Factory,CA,2023-03-22 06:55:48,51.2585,-80.6094,-20.22,69,0,0.0
211,Ippy,CF,2023-03-22 06:55:48,6.2679,21.2247,81.86,53,82,3.6
212,Rudbar,AF,2023-03-22 06:55:48,30.15,62.6,81.23,16,0,17.6
213,Kapit,MY,2023-03-22 06:55:49,2.0167,112.9333,83.57,83,97,4.21
214,Bilibino,RU,2023-03-22 06:55:49,68.0546,166.4372,-15.88,96,100,8.23
215,Talakan,RU,2023-03-22 06:55:49,50.3167,130.3667,38.14,97,100,12.37
216,Tessalit,ML,2023-03-22 06:55:50,20.1986,1.0114,66.79,33,0,6.91
217,Berlevag,NO,2023-03-22 06:55:50,70.8578,29.0864,19.35,79,75,24.16
218,Verkh-Neyvinskiy,RU,2023-03-22 06:55:50,57.2701,60.1376,39.13,84,96,15.7
219,Vadso,NO,2023-03-22 06:55:51,70.0744,29.7487,18.48,67,40,13.8
220,Kalevala,RU,2023-03-22 06:55:51,65.2,31.1667,19.65,93,74,6.26
221,Ossora,RU,2023-03-22 06:55:52,59.2353,163.0719,3.72,93,92,4.5
222,Northam,GB,2023-03-22 06:55:52,51.0333,-4.2167,49.39,94,56,12.39
223,Katima Mulilo,NA,2023-03-22 06:56:53,-17.5,24.2667,75.94,63,100,7.56
224,Olinda,BR,2023-03-22 06:56:53,-8.0089,-34.8553,73.13,94,75,6.91
225,Dapaong,TG,2023-03-22 06:56:53,10.8639,0.205,78.17,58,100,5.28
226,Elizabethtown,US,2023-03-22 06:56:54,37.694,-85.8591,46.09,80,100,5.75
227,Oktyabrskiy,RU,2023-03-22 06:56:54,54.4815,53.471,37.99,97,100,8.63
228,Mahebourg,MU,2023-03-22 06:56:54,-20.4081,57.7,85.24,70,75,11.5
229,Zavyalovo,RU,2023-03-22 06:56:55,54.5053,82.4484,24.64,72,48,7.65
230,Svetlogorsk,BY,2023-03-22 06:56:55,52.6333,29.7333,43.16,85,100,2.55
231,Vardo,NO,2023-03-22 06:56:56,70.3705,31.1107,10.38,72,40,19.57
232,Sorel,CA,2023-03-22 06:56:23,46.0418,-73.1136,26.19,80,64,6.51
233,Valley City,US,2023-03-22 06:52:01,46.9233,-98.0032,25.32,100,100,10.36
234,Calbuco,CL,2023-03-22 06:55:19,-41.768,-73.1273,47.41,84,1,14.38
235,Carupano,VE,2023-03-22 06:53:20,10.6678,-63.2585,71.94,88,16,7.9
236,Japura,ID,2023-03-22 06:56:57,-0.3167,102.35,91.15,55,99,1.21
237,Pirgos,GR,2023-03-22 06:56:57,35.1167,25.7178,59.63,80,100,5.08
238,Sinnamary,GF,2023-03-22 06:56:58,5.3833,-52.95,75.74,78,99,9.06
239,Kutum,SD,2023-03-22 06:56:58,14.2,24.6667,73.24,12,10,11.68
240,Pandhana,IN,2023-03-22 06:56:59,21.7,76.2167,85.93,24,4,5.39
241,Mufumbwe,ZM,2023-03-22 06:56:59,-13.6833,24.8,67.91,82,97,3.67
242,Surt,LY,2023-03-22 06:57:00,31.2089,16.5887,63.39,78,14,20.09
243,Coquimbo,CL,2023-03-22 06:52:06,-29.9533,-71.3436,62.33,100,75,10.36
244,Ngama,TD,2023-03-22 06:55:26,11.7833,17.1667,79.52,60,100,11.39
245,Rock Sound,BS,2023-03-22 06:57:01,24.9,-76.2,72.32,74,100,21.61
246,Hokitika,NZ,2023-03-22 06:57:01,-42.7167,170.9667,54.14,61,100,4.34
247,Atambua,ID,2023-03-22 06:57:02,-9.1061,124.8925,78.84,80,100,2.51
248,Lang Son,VN,2023-03-22 06:57:02,21.8333,106.7333,96.48,27,68,12.84
249,Nishihara,JP,2023-03-22 06:57:02,26.1842,127.7558,78.85,85,100,13.8
250,Redlands,US,2023-03-22 06:53:35,34.0556,-117.1825,47.75,90,75,0.0
251,Chuy,UY,2023-03-22 06:57:03,-33.6971,-53.4616,64.0,70,98,5.3
252,Chapada Dos Guimaraes,BR,2023-03-22 06:57:03,-15.4606,-55.7497,67.66,96,100,5.01
253,Provideniya,RU,2023-03-22 06:57:04,64.3833,-173.3,-0.36,99,100,7.38
254,Birao,CF,2023-03-22 06:57:04,10.2849,22.7882,83.37,10,1,5.1
255,Kamsack,CA,2023-03-22 06:57:05,51.5667,-101.9009,6.49,98,100,2.86
256,Pittsfield,US,2023-03-22 06:57:05,42.4501,-73.2454,36.25,81,0,0.0
257,Leningradskiy,RU,2023-03-22 06:57:06,69.3833,178.4167,-7.35,95,100,29.55
258,Akyab,MM,2023-03-22 06:57:07,20.15,92.9,82.92,60,10,14.03
259,Chakrata,IN,2023-03-22 06:57:07,30.7,77.85,57.07,43,48,6.31
260,Laguna,US,2023-03-22 06:57:08,38.421,-121.4238,49.96,85,75,14.97
261,Innisfail,AU,2023-03-22 06:57:08,-17.5333,146.0333,77.18,78,33,8.34
262,Roebourne,AU,2023-03-22 06:57:09,-20.7833,117.1333,98.24,35,19,15.05
263,Faro,PT,2023-03-22 06:57:10,37.0194,-7.9322,59.18,82,0,3.44
264,North Platte,US,2023-03-22 06:57:10,41.1239,-100.7654,39.09,80,100,15.99
265,San Lawrenz,MT,2023-03-22 06:57:11,36.0553,14.204,57.85,89,100,1.99
266,Avera,US,2023-03-22 06:58:12,33.194,-82.5271,47.71,87,99,5.75
267,Gamba,GA,2023-03-22 06:58:12,-2.65,10.0,77.16,88,100,5.97
268,Almaznyy,RU,2023-03-22 06:58:12,48.0448,40.045,49.44,50,100,6.91
269,Pemba,MZ,2023-03-22 06:58:13,-12.974,40.5178,74.1,100,75,8.05
270,Springbok,ZA,2023-03-22 06:58:13,-29.6643,17.8865,61.38,51,0,2.3
271,Tarauaca,BR,2023-03-22 06:58:14,-8.1614,-70.7656,71.1,99,100,1.39
272,Nome,US,2023-03-22 06:58:15,64.5011,-165.4064,20.16,93,100,10.36
273,Sembe,CG,2023-03-22 06:58:15,1.6481,14.5806,72.84,91,100,1.45
274,Broken Hill,AU,2023-03-22 06:58:16,-31.95,141.4333,94.14,17,8,10.18
275,Skibbereen,IE,2023-03-22 06:58:17,51.55,-9.2667,47.1,80,100,21.0
276,Port Blair,IN,2023-03-22 06:58:17,11.6667,92.75,86.04,74,20,10.36
277,Ajaccio,FR,2023-03-22 06:58:18,42.0,8.9167,46.45,93,0,3.44
278,Fortuna,US,2023-03-22 06:58:18,40.5982,-124.1573,44.94,95,100,6.91
279,Coos Bay,US,2023-03-22 06:58:19,43.3665,-124.2179,48.18,93,0,9.22
280,Airai,TL,2023-03-22 06:58:19,-8.9266,125.4092,65.19,93,99,0.38
281,Merritt,CA,2023-03-22 06:58:19,50.1123,-120.7942,25.32,73,67,0.6
282,Dubreka,GN,2023-03-22 06:58:20,9.7911,-13.5233,71.37,93,71,2.04
283,Puerto Escondido,MX,2023-03-22 06:58:21,15.85,-97.0667,78.87,71,0,6.33
284,Sorong,ID,2023-03-22 06:58:21,-0.8833,131.25,82.13,77,100,1.79
285,San Jose,US,2023-03-22 06:55:18,37.3394,-121.895,48.7,86,100,11.99
286,Banfora,BF,2023-03-22 06:58:22,10.6333,-4.7667,77.67,65,85,3.85
287,Hashtrud,IR,2023-03-22 06:58:22,37.4779,47.0508,39.43,79,100,6.46
288,Verkhnyaya Inta,RU,2023-03-22 06:58:23,65.9811,60.3094,22.55,85,100,15.05
