City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
530,Nyimba,ZM,-14.5566,30.8149,67.62,87,91,5.57,overcast clouds
531,Mantua,IT,45.1667,10.7833,56.01,87,98,5.01,overcast clouds
532,Roald,NO,62.5833,6.1333,35.76,55,95,20.71,overcast clouds
533,Nerchinskiy Zavod,RU,51.3088,119.61,16.61,84,52,6.06,broken clouds
534,Willmar,US,45.1219,-95.0433,32.18,64,100,5.75,overcast clouds
535,Margate,GB,51.3813,1.3862,47.89,75,73,8.01,broken clouds
536,Fare,PF,-16.7,-151.0167,82.49,74,19,12.03,few clouds
537,Labuhan,ID,-6.8844,112.2051,86.04,66,71,7.83,light rain
538,Raya,IN,27.5667,77.7833,82.36,35,64,8.72,broken clouds
539,Kurchum,KZ,48.5722,83.6542,30.63,67,30,0.51,scattered clouds
540,Ventspils,LV,57.3894,21.5606,40.93,93,100,18.41,overcast clouds
541,Alice Springs,AU,-23.7,133.8833,96.35,10,1,8.05,clear sky
542,San Juan,AR,-31.5375,-68.5364,73.49,64,0,4.27,clear sky
543,Roebourne,AU,-20.7833,117.1333,92.07,50,29,12.57,scattered clouds
544,Colquechaca,BO,-18.6667,-66.0167,32.47,91,89,3.56,overcast clouds
545,Woodward,US,36.4337,-99.3904,40.23,88,0,5.75,clear sky
546,Eyl,SO,7.9803,49.8164,82.27,71,18,12.66,few clouds
547,Tilichiki,RU,60.4667,166.1,3.58,96,100,19.37,snow
548,Lundazi,ZM,-12.2929,33.1782,65.44,91,99,6.17,overcast clouds
549,Tarabuco,BO,-19.1667,-64.9167,49.12,84,89,3.33,overcast clouds
550,Jimma,ET,7.6667,36.8333,68.09,55,24,1.48,few clouds
551,Owosso,US,42.9978,-84.1766,36.32,83,0,6.91,clear sky
552,Santa Maria,BR,-29.6842,-53.8069,70.5,89,75,5.88,light rain
553,Dakar,SN,14.6937,-17.4441,68.13,88,0,2.3,clear sky
554,New Iberia,US,30.0035,-91.8187,75.27,93,49,14.18,scattered clouds
555,Anloga,GH,5.7947,0.8973,82.51,75,100,10.6,overcast clouds
556,Mount Gambier,AU,-37.8333,140.7667,63.23,59,91,10.4,overcast clouds
557,Den Helder,NL,52.9599,4.7593,48.18,86,75,20.71,broken clouds
558,Kavarna,BG,43.4333,28.3333,45.68,89,68,10.78,broken clouds
559,Wembley,AU,-31.9333,115.8,88.0,51,75,10.36,broken clouds
